"","Parameter1","Parameter2","r_p"
"1","Sx_CASriskacts","AUDIT_sum","0.22*"
"2","Sx_CASriskacts","SIP_sum","0.20"
"3","Sx_CASriskacts","HAMD_sum","0.04"
"4","Sx_CASriskacts","BAI_sum","-0.02"
"5","Sx_CASriskacts","SIDAS_sum","-0.06"
"6","Sx_CASriskacts","IHS_mean","0.06"
"7","Sx_CASriskacts","RS_mean","0.04"
"8","Sx_CASriskacts","SOC_concealment_mean","-0.10"
"9","Sx_CASriskacts","LGBIS_identaffirm","-0.06"
"10","Sx_CASriskacts","Average_Affirm","0.13"
"11","AUDIT_sum","SIP_sum","0.64***"
"12","AUDIT_sum","HAMD_sum","0.22*"
"13","AUDIT_sum","BAI_sum","0.24*"
"14","AUDIT_sum","SIDAS_sum","0.16"
"15","AUDIT_sum","IHS_mean","0.27**"
"16","AUDIT_sum","RS_mean","0.18"
"17","AUDIT_sum","SOC_concealment_mean","-0.07"
"18","AUDIT_sum","LGBIS_identaffirm","-0.10"
"19","AUDIT_sum","Average_Affirm","-0.02"
"20","SIP_sum","HAMD_sum","0.26**"
"21","SIP_sum","BAI_sum","0.29***"
"22","SIP_sum","SIDAS_sum","0.16"
"23","SIP_sum","IHS_mean","0.21+"
"24","SIP_sum","RS_mean","0.27**"
"25","SIP_sum","SOC_concealment_mean","-0.05"
"26","SIP_sum","LGBIS_identaffirm","-0.04"
"27","SIP_sum","Average_Affirm","-0.12"
"28","HAMD_sum","BAI_sum","0.37***"
"29","HAMD_sum","SIDAS_sum","0.29***"
"30","HAMD_sum","IHS_mean","0.24*"
"31","HAMD_sum","RS_mean","0.26**"
"32","HAMD_sum","SOC_concealment_mean","0.02"
"33","HAMD_sum","LGBIS_identaffirm","-0.11"
"34","HAMD_sum","Average_Affirm","-0.12"
"35","BAI_sum","SIDAS_sum","0.15"
"36","BAI_sum","IHS_mean","0.10"
"37","BAI_sum","RS_mean","0.23*"
"38","BAI_sum","SOC_concealment_mean","-0.06"
"39","BAI_sum","LGBIS_identaffirm","-0.06"
"40","BAI_sum","Average_Affirm","-0.02"
"41","SIDAS_sum","IHS_mean","0.13"
"42","SIDAS_sum","RS_mean","0.14"
"43","SIDAS_sum","SOC_concealment_mean","0.09"
"44","SIDAS_sum","LGBIS_identaffirm","0.02"
"45","SIDAS_sum","Average_Affirm","-0.15"
"46","IHS_mean","RS_mean","0.34***"
"47","IHS_mean","SOC_concealment_mean","0.35***"
"48","IHS_mean","LGBIS_identaffirm","-0.56***"
"49","IHS_mean","Average_Affirm","-0.02"
"50","RS_mean","SOC_concealment_mean","0.18"
"51","RS_mean","LGBIS_identaffirm","-0.02"
"52","RS_mean","Average_Affirm","-0.01"
"53","SOC_concealment_mean","LGBIS_identaffirm","-0.31***"
"54","SOC_concealment_mean","Average_Affirm","-0.27**"
"55","LGBIS_identaffirm","Average_Affirm","0.05"
