"","Item","Guilford_G","ppos","pneg"
"1","Early1",0.474,0.5946,0.8052
"2","Early2",0.579,0.7692,0.8065
"3","Early3",0.895,0.7692,0.9703
"4","Early4",0.86,0.7778,0.9583
"5","Early5",0.719,0.2,0.9231
"6","Early6",0.895,0.4,0.9725
"7","Early7",1,1,1
"8","Early8",0.93,0.5,0.9818
"9","Early9",0.93,0.5,0.9818
"10","Early10",0.895,0.7692,0.9703
"11","Mid1",0.404,0.5641,0.7733
"12","Mid2",0.404,0.7119,0.6909
"13","Mid3",0.86,0.5,0.9623
"14","Mid4",0.754,0.6667,0.9247
"15","Mid5",0.719,0.3333,0.9216
"16","Mid6",0.86,0,0.9636
"17","Mid7",0.93,0,0.9821
"18","Mid8",0.965,0,0.9912
"19","Mid9",0.93,0.5,0.9818
"20","Mid10",0.86,0,0.9636
